content,category,validated_by,score,thumbsUpCount,country
shipping is usually delayed,shipping,Solomon,1,0,us
"SLOW & UNRESPONSIVE ,often FREEZING due to a Bloated , Cluttered, & Messy APP. Likely to cancel Amazon subscriptions as ADS now in PRIME VIDEO & PREMIUM MUSIC. Setup Alexa devices ahead of time ,NOPE is unresponsive to submit button. SEARCH results are a huge turn off in part by ""SUGGESTED"" in search results. i know what im looking for . these are more confusing and distracting than helpful. Disappointed by CANNOT BUY KINDLE BOOKS due to play store policy? Distaste for Google & Amazon grows.",user-experience,Adam,1,44,uk
"Amazon basket is still not working, can't delete or reduce quantity, change delivery address etc , has been this way for near a month, very frustrating 😑",user-experience,Solomon,1,0,us
Love this shopping apl,user-experience,Adam,5,0,us
"I would give this a 5☆ review if some of your package handlers could actually find my residing address or call for questions if they are lost, instead of just dropping off my items in random places. I have had this issue at least 5 times all ready. I had a recent order sent to another address and not my own. I dont know where it is or if its stolen now. I didnt get a snapshot of it being dropped off where it was left at to better help me find my package.",shipping,Solomon,4,0,us
"I like that Amazon is a reliable app for online shopping, however, I have an issue with them showing me so many unavailable items that I can't even buy among the search results (with there being no filter to hide them). Sometimes I have wasted so much valuable time scrolling through unavailable things only to find out none of the items shown are available. Also, lately Amazon has gotten incredibly slow with orders taking a full week to process, even if it's a small order with only one item.",user-experience,Ugochukz,2,99,us
"I like the app, I like that it can link up with Google Assistant so that I can use Google Assistant to search the app. however, there's an annoying bug where I click on a page it loads and then just shows me a picture of a dog and says that the page that had loaded couldn't be loaded and I have to start over. This only seems to be an issue on the Android app because some of my friends on iPhone don't seem to have this problem.",user-experience,Solomon,4,340,us
"It's a great app, but don't use try before you buy, because even if you send it back, if there's a glitch on their end they will still charge you and basically accuse you of lying about sending it back even if you you never had issues with returning before. I don't like being called a liar. Or blamed for fault on their end or have money taken from me when I didn't keep a item and sent it back.",customer-service,Adam,3,7,uk
"For the last couple of months whenever I'm trying to look at the photos of products, by swiping to the left, the app freezes up and I can't even exit sometimes.. Locks up my whole phone. Eventually it will say Amazon shopping has stopped. Idk if I should in install and reinstall or what. But it's super annoying Also, and I am not rating the app lower for this until I've done my research, but I have been getting notified in the last month or so that Amazon was detected running in the background,.",user-experience,Ugochukz,3,1,us
Great app. Can we get a dark mode option?,user-experience,Lailat,3,4,us
"As Amazon has gotten bigger, better and offers more and more daily, the same cannot be said for their app. You'd think Jeff Besos could afford to hire better software developers. App constantly crashes or just stops midscroll while showing search results. Past orders take forever to load, sometimes the menu doesn't load. However, I love Amazon and depend on it way too much not to use it, no matter how annoying the app has become. Fix it!",user-experience,Ugochukz,2,70,us
"Can't switch languages or countries all of a sudden. I've done that for years in the app to order from, say, Amazon Italy, or Amazon Japan, without an issue. Now the setting is missing from the Settings area. Rather frustrating. Mixing my favorites lists together is also stupid, why do you think we make separate lists in the first place?",user-experience,Ugochukz,1,104,us
"I never thought I'd have to give a bad review, but this new update is annoying the hell out of me. I can be scrolling, and it just freezes. My whole screen, it even hides my menu buttons, so I can't bring it up. I have to swipe from my drop-down menu and go to settings just to get my menu buttons back to close out amazon and restart it.",user-experience,Ugochukz,2,83,us
"The app constantly force closes without warning. I can see no patten to it. Though, amusingly, it did it while I was trying to chat with customer support. Twice. However, it's also don't it many other times. I would use Amazon's website, but I love dogs too much. If I see their ""Sad Dog - Something Went Wrong"" error page too many more times, I'm afraid I'll start hating that poor innocent puppy. Oh well. Due to the many issues I've been having with Amazon lately, I'm likely dropping Prime.",user-experience,Ugochukz,1,159,us
"I use the app almost daily and never had any issues. However, over the past few days the app hangs then a pop up box states 'Amazon shopping is not responding' and asks 'wait or close'. I click wait and the pop up appears every few seconds. In the end I give up and may shop elsewhere in frustration. Browsing and shopping on Amazon used to be so efficient and easy, but they will lose customers quickly if this continues. The recent reviews all confirm the same issue! Please fix ASAP!",user-experience,Adam,1,76,uk
.\ . I. am ! . M. N g 1 / . I .. y,user-experience,Adam,4,0,us
"As usual, I love shopping on Amazon, but recently both the App on my android and my Fire Tablet have slowed down to a slow crawl. It takes so long to load anything. It's difficult to get anything done.",user-experience,Adam,2,0,uk
Lag & too many push notifications Recently the app started to stop scrolling after browsing for a while. The way to stop that from happening I have to close and reopen the app. I get more push notifications about stuff I don't care instead of stuff that I need to know. I do not care about some random deals or stupid Thursday football. Finding the push notification settings is a PITA. It's so very obfuscated and hidden. Took me 10 mins of clicking around to find it.,user-experience,Ugochukz,1,19,us
"The app is wonderful, mostly because I always have my phone and I don't have to carry around the reader all the time. I always worried about losing it. They work together too. Drawbacks, a couple.. First, in the last 24 hours it notifies you the sensor will expire, EVERY HOUR, DAY AND NIGHT. I cannot find a way to modify that. I have to kill notifications. The other, I can't put it on all my devices. You get one app and reader. Other than that it is amazing. Please change those and 5 stars!",user-experience,Solomon,4,61,us
"Been an Amazon Customer for many years. The pandemic hiccup caused some delays for shipping obviously, but it got back on track.",shipping,Adam,5,0,us
"Love shopping Amazon. It has become slow, frustrating, and difficult. Products won't load, making it impossible to even purchase an item that has been saved in essentials. Forget about ordering something you need the next day. Please correct all the freezes and failing to load.",user-experience,Ugochukz,2,3,us
"Used to be ok for shopping but now they've introduced a checking of reviews before publishing. While i understand that's useful in some cases, not wanting to publish a review showing false product advertising by a seller seems completely counter productive and has honestly made me doubt all listings.",user-experience,Solomon,3,1,us
It doesn't get any more convenient than one-stop shopping while you're at home on your electronic device. you can order just about anything from all over the world and have it delivered to your doorstep.,user-experience,Solomon,5,2,us
"if you dont have amazon prime it defaults to the standard delivery in the app (which costs and takes one day less than the free delivery), if however, you try to change it to free delivery - available on orders over £20, the app freezes and wont let you continue, so if youre ordering in the app only you will probably have to pay for delivery. or open the browser and continue from there. it also vibrates when you add something to the basket, which can get annoying.",shipping,Adam,3,40,uk
"Whats happening to this app, having the latest phone it still runs slow, it won't load or show some of the products. Used to be great but it's getting frustrating to use. I'm a prime payer and I'm having second thoughts. All that money they make, you'd think they would have an amazing shopping app",user-experience,Ugochukz,2,4,us
Amazon is mostly good to use and I use Amazon a lot now. I can't find what I want in the shops and it can be quite costly to go into town too. Amazon have lost a star for letting scammers sell items on their site. I have been caught out a couple of times. It's getting quite difficult to know who is selling genuine items. Some people want to get none genuine items tho. But I wish it was clearer whether an item was genuine or not. Difficult when it's by post and not in front of you like in a shop.,security,Adam,4,7,uk
"This app worked great for a few weeks, but then it started freezing up. My phone wouldn't respond for about 30 minutes each time it froze. It wouldn't let me shut down or restart my phone until it became unfrozen. After the fifth time, I decided to uninstall the app. Update: After 2 months, I decided to try the app again. However, the problem has not been resolved. The developer is lagging. Wish they address this issue.",user-experience,Ugochukz,1,65,us
Don't buy downloads from Amazon. I don't know why they sell them. I bought intuit quickbooks. They cancelled the order said it was fraud made me change my password. Now they have it in my account but I still can't download it. talked to customer service three times and they say they can't cancel it and have to wait for a seller to respond. If you are trying to download get it from somewhere else.,customer-service,Ugochukz,2,16,us
Good,user-experience,Lailat,3,0,us
Very good,user-experience,Adam,5,0,us
"absolute breeze to use, quick ordering and payment methods. Amazon, keep you protected and updated on your orders, and if you have a prime subscription, quick and free delivery. the app works great.",user-experience,Solomon,5,3,us
"Service that changed our way of life even if I continue to prefer the Amazon of first years with more top electronic products, better and more frequent offers, lower spending limit for free shipping. Maybe it's the consequence of the too much permissive behavior towards users who abuse the possibility of returns. The food category can't compete with the much better offer of local supermarkets. App has few functions compared with the web version but I never had encountered in issues with it.",user-experience,Adam,4,35,uk
"It's an overall good app. However, unlike ebay and the Walmart app, it's slow to load photos. After loading, it takes a further while to be able to tap on them to zoom in. Unlike the other 2 apps mentioned, surfing the Amazon app gobbles too much phone data. It might have something to do with loading photos of selected product twice. Scroll down some, and there's the photos again, after they load of course.",user-experience,Ugochukz,3,0,us
I like the convenience and options for online shopping but I very much dislike that the app makes it harder and harder to log out. There has been a recent change were the log out option has been removed or hidden even better that before. I've tried uninstall and reinstall but that didn't help. If I'm missing it please let me know where it is.,user-experience,Lailat,2,0,us
"The app works really well, but Google can go straight to hell preventing the buying of ebooks using the app. We need a lot more competition.",user-experience,Solomon,5,0,us
"I'm a prime member and use Amazon almost daily for both personal and business and wouldn't be without it. I held off for many many years as I didn't find them competitive, that's all changed over the last 12 months or so. Anyone thinking of taking the plunge (especially for a Prime Membership) I wouldn't hesitate to recommend Amazon. their returns, speed of delivery and ease of use are unparalleled. Well done Amazon👍",user-experience,Adam,5,44,uk
"A smooth and easy to use app for phones. One click and can order anything easily.. but it can get chaotic as there is too much writing on a single page and is a little compacted, in my opinion, eg. Payment page or the details of item page when you click on a product. But it's a GOOD app overall.",user-experience,Adam,5,2,uk
"I have been using this app for years and have had no problems with it. Lately, pass few days, it crashes and closes out. No rhyme or reason. I uninstalled it and reinstalled it and still crashes. Don't know why it's doing this now really sucks. Would rate it as a 5 but with this issue it wouldn't give it a 1. But unfortunately I had to give it some rating.",user-experience,Ugochukz,1,54,us
Excellent application ! . I recommend to have . ! 👍😊 Thank you Amazon,user-experience,Adam,5,0,us
"Fantastic app experience and fabulous quality of products. I've only had 1 bad experience in the 10 years that I've been using the Amazon shopping App. What happened was that I had ordered DC Men's Fusion Globes shoes in a size UK 11, but a UK size 8 DC Men's Fusion Globes shoes was delivered. Unfortunately I couldn't return my order as it was a gift I purchased 2 months in advance for my husband's birthday so I didn't know that the wrong size had been delivered until he opened the package.",shipping,Solomon,5,1,us
Idk,user-experience,Lailat,1,0,us
"It's. Probably me, but it seems hard to get into their app.And log in",user-experience,Lailat,4,0,us
Unreliable shipping schedule. Paying for prime is rarely worth they constantly lose your package and fight tooth and nail to not give you a refund. It's a company that wants to monopolize everything is anyone really surprised that they don't care about the customer? You can always find similar products for around the same price and get the item shipped how you want and when you want and easily get a refund if they're at fault. People that pay extra money should be top priority.,shipping,Ugochukz,1,12,us
"Do not order from this app. Order from Amazon's web site and take screen shots during each step of the order, especially of the items in your cart. If you order an inexpensive item, Amazon may change the order to a more expensive version without warning. Because this change happens between when you order and when the item is shipped, you will not see the change until you receive your credit card statement. This app hides all the details of your oder after you have placed it (price, quantity,",user-experience,Ugochukz,1,197,us
"I really like this a lot , can see everything's in one place, needed items quickly, so summer fun can begin. Ready for summer, grandchildren will love this.",user-experience,Solomon,5,0,us
Works well. Shopping stays in basket until you delete it. Informs about price changes. Has the option to stay logged in. Items can be cancelled until prepared for shipping and customer support is responsive and easy to contact. Amazon please bring back the filter option to buy from Amazon directly only. The store is flooded by Chinese Marketplace sellers making it tedious to find what you are looking for without scrolling through hundreds of cheap products and sponsored items.,user-experience,Adam,4,17,uk
extremely hard to set my billing address,user-experience,Lailat,3,0,us
Overall happy with Amazon Shopping. The only problems I have had has been with packaging on shipments and those have been quickly resolved to my satisfaction,shipping,Adam,4,1,uk
"App is erroring out on attempt to upload media to reviews. When using add photo / video functionality what I'm noticing on two different devices is the application is creating 4,5 or sometimes 6 copies of a single video in the gallery and also fails to upload any media to a review you're trying to do. I thought it was my cell phone so I loaded it on another cell phone with the latest Android and it worked at first but having identical error on phone#2",user-experience,Adam,1,8,uk
"I'm really o.k. with a lot of its FEATURES. I changed my provider & that's causing issues. I do have ideas for improvements for those NON technical people. I like it. Wish u could select items from your basket or list, then only purchase the few things u want. Without having 2 do it the current system of putting stuff in the main cart or in a list. Hope it makes sense?",user-experience,Solomon,4,1,us
"I've been using Amazon Prime since covid and had to use custom services today to resolve a problem. I realized it was the best customer service I have received in year's. A person (not a bot) helped me with everything I needed in a very quick fashion, very kind and helpful. It's hard to find big companies with good quality customer service these days.",customer-service,Solomon,5,7,us
Edit: seems to be more stable again. Changing from 1 star to 4 stars. This App has become unusable on my OnePlus 11. After a few seconds of looking at a product the app starts to lag up. After 10+ seconds the app is completely unusable and my entire phone starts to lag. I'm forced to close the app and open it again. I have seconds to add a product to my cart before it freezes up. Every other page loads just fine. It's just the product listing itself that cause terrible lag.,user-experience,Solomon,4,137,us
"This new app is not stable, if you try and use a few filters it closes. It also closes quite a bit for no apparent reason. Also, as in past, the Amazon shopping app filter excludes items that you don't want excluded (there is often no means to select more than 1 similar feature). For example, if you want to select to show prices sorted from low to high, you don't necessarily want this selection to exclude featured items.",user-experience,Ugochukz,1,172,us
I've been a prime member since it's inception and use Amazon for nearly all my online purchases. This app is very easy to navigate and use. I have little to no issue with the app crashing. Wishlist is a fantastic feature for possible future purchases. I sometimes have issues with it's suggestions based on search history. Some products aren't relevant and I have yet to see any deals of the day as steals or must have products.,user-experience,Solomon,4,73,us
"Used this a lot with the Prime Trial and I will say, it was definitely worth doing even just for the trial month. A lot of things I needed that saved me time going to stores and shopping around looking for. So even if unsure, just do it with the trial and you'll get something from it guaranteed without hassle.",user-experience,Solomon,5,4,us
"The last few months the tracking notifications (and emails) have been broken. I first installed the Amazon app because of the 8 stops away notification which was very useful and is now an expected thing, but the last few months i am not getting that and only getting the delivery notification a few hours after it's actually delivered. If the in app tracking is not going to be fixed then there is no reason for me to keep the app installed.",shipping,Solomon,3,29,us
"Amazon canada app is usually good but recently, the feature for where u can specifically choose what in ur cart u want to buy at the moment, is no longer usable? I choose the few item i want to buy, i cant pick what i want to buy from what i have in my cart, very inconvenient to removed a good feature people use i want everything in my cart but i want to buy certain things at a time not all at once and it doesnt let you choose ur cart item options",user-experience,Ugochukz,2,1,us
OK app. Missing feature parity with website. Missing the option to multi-select some of the items from the cart to checkout. The website has had that functionality forever. Is very handy when you want to split payments across different payment methods or need to split things up for multiple invoices. It is stupid to have to delete you cart contents to make separate payments. Kinda pointless to have an app when you have to go back to the website for basic functionality.,user-experience,Ugochukz,2,38,us
You guys are stopping me from contacting costumer service.,customer-service,Solomon,1,0,us
"Like the app, but lately has been a ton of those doggy ""uh oh's"", crashing; images of items not showing, just the wording; have to keep re-clicking things to get where I want to go; also seeing that ""webpage not available"" inside the app itself!? Samsung Note 9/Running 10",user-experience,Adam,4,2,uk
"Why does it always take so long for the items to load? Or just about anything on the app even, regardless of my internet connection. And why is it 99.9% of the time I click on an item it always goes to ""Uh-oh something went wrong at our end. Go to Amazon Home. "" Both of these issues are so annoying that it puts me off from actually using the app. What do I do? Am I doing something wrong here? Please let me know anyone. Thanks in advance",user-experience,Ugochukz,3,1,us
Customer service is terrible & refunds are almost non existent💀💋,customer-service,Lailat,3,0,us
"Amazon is one of my favorite apps. Although I would like to suggest to make a purchase security code(4digit pin) before charging the card to confirm the purchase. That way if you have long stay visitors and order unwanted apps or movies on your firestick they wont be able just to abuse your account, or it would also be helpful if it had an option on your payments for activate or deactivate(on-off) your card payments.",security,Solomon,4,10,us
"Can't find wishlists and cannot change to desktop version, cannot contact you about these issues. I cannot find a wishlist and apparently can only do this on the desktop site which your app won't allow. Even when I type it into Google.. still opens in the useless app. Sort it out or you are pointless as you are more expensive then ebay and provide absolutely no customer services",customer-service,Adam,1,9,uk
"I have been using Amazon smile shopping app for years! It is simple to use and is my go to shopping app. There is room for improvement, however. One thing that frustrates me is that you cannot type services in the search Box , for example you cannot type in Amazon music, or subscriptions and pull up your lists. Navigating to personalized apps and subscriptions is a pain in the rear, If they fixed that 1 feature I would give it 5 stars!",user-experience,Solomon,4,26,us
"""Lists"" new interface SUCKS! The old way when you click on the ""list"" tab was perfect, everything there and you just scroll through. Now they have something dumb where you have some lists in a horizontal scroll that don't show you the full title of the list, so you have no darn clue which one you're clicking and then under that, you have a list of ALL your items combined from all lists. Why?? I made a list for a reason, to separate them! They tried this before and it sucked then, sucks now.",user-experience,Ugochukz,2,34,us
"This app won't let me do anything. No matter what I try, I can't order anything. The instructions guide me in circles. Too frustrating.",user-experience,Adam,4,0,us
"We use this app all the time for many,many years. We have had prime for aprox . 20 + yrs. My only disappointment would be that all the newest commercials on TV having to do with Amazon helping to go green ,the work force,benefitting our country. All of these qualities are wonderful & should be commended. I would challenge by saying the US Postal service has been in the red for several millions of dollars. So why does Amazon choose other carriers?? Some food for thought!!",shipping,Solomon,5,4,us
"Love Amazon, but so frustrated everytime they do an upgrade it messes up the Giveaway feed. You start at the top of the giveaways and then if your half way down the page and enter for something if you don't win and press the back button to go to where you were, it doesn't go back to that spot. It goes all the way to the top of the page again!!! So you have to keep scrolling all the way down to where you were everytime after you enter something, that is major frustrating!!!",user-experience,Solomon,4,128,us
Love Amazon but what is going on with your delivery drivers. Evri delivered to a random neighbours but no note through door to say where . DHL say tried to deliver but didn't really... Post Office never leave in safe place. Arrrgh,shipping,Lailat,4,1,us
Why is it no longer supported?,customer-service,Lailat,1,0,us
"Every time I try to leave a review on an order , it won't take my review and says something went wrong in red letters , so I don't know if this will even be accepted, but I wanted to leave a review on a blanket I just received and can't do it . HELP !!!! Now it let it take my review, but because I didn't think it was gonna work because I have done it so many times , I didn't say what I needed to say and didn't add the photos .",user-experience,Adam,3,0,uk
Good,user-experience,Adam,5,0,us
"I mean, the app is OKAY. Recently, it has been happening that the app gets stuck at some point, about every 15 minutes. Usually, when opening a picture or another product. But what I can't accept is that STILL there is NO DARK MODE. Please invest a few pennies of your multiple billions on developing a dark mode. It would be MUCH APPRECIATED.",user-experience,Ugochukz,2,4,us
Very bad,user-experience,Lailat,1,0,us
I ordered a book 7 days ago. When I checked it says arriving tomorrow 3-10-24.But the tracking says ordered. Doesn't show it has been shipped. There is a glitch in package tracking. Last few items I've never had this problem. They have been ordered and shipped in less time. If there is a delay or other problem it does not mention it.,shipping,Ugochukz,2,10,us
"This worked well, but now I can no longer access my wish list.",user-experience,Lailat,3,0,us
"I love the convenience of shopping from home. Amazon has everything I need and everything I don't need. Just type what you're looking for in the search engine and voila you get a plethora of brands, colors and similarities to choose from.",user-experience,Solomon,5,2,us
"Extremely slow to load content (and getting worse with each update) unless you're on wifi. The latest UI updates are just awful. The change to the lists (and lists of lists, to boot) is horrible. Why would I want to default to seeing all items from all lists all together (vertically) with an awkward horizontal scrolling list of my lists. Why?! Who asked for that?! It's frustrating enough I've stopped using the app amd only shop or window shop on the computer, now..",user-experience,Ugochukz,1,585,us
slow between screens,user-experience,Lailat,3,0,us
"In the past, I depended on this app heavily for my shopping needs civil Court today, I enjoy being able to collect all the facts about different products, environment my leisure. The only reason I didn't give it five stars it's the fact that often times I run up against a brick wall and it says that I have to try to load the page again, and Ellen convenience I also like the that recently they have highlighted so businesses as small businesses which I would like to support. Prime days rock!",user-experience,Adam,4,3,uk
"Normally, the app is great no issues, user friendly for the most part. HOWEVER, lately it keeps switching itself to Spanish! Do u know how hard it is to find the setting to switch languages when you can't read the language? This has happened 3x. Idk if my phone is possessed or the app or others have this issue but it's extremely frustrating! Please, please fix this if it's on your end.",user-experience,Solomon,4,517,us
"When looking for anything when you put into the search bar exactly what you are looking for it should bring up exactly what you are shopping for. Not everything in that category!!! And in filters, when you mark all the things that can best describe what you are looking for show it not everything in that category!!! PNMA",user-experience,Adam,3,1,uk
"been a prime member for a few years, ordered in the thousands in money that I've spent, only had a couple returns. and had absolutely no problems. in the past 6 to 8 months I've had packages placed at the wrong apartment and I've been at the same apartment complex for 2 years now I've had them placed under the drain pipe of the gutter by my garage directly under the drain pipe when I had the Amazon key setup and they were supposed to put the package in the garage. I discontinued that service",shipping,Solomon,3,1,us
"I was shopping for a projector recently & had questions. Found a forum-type thing where people post short questions & answers about each product, but it was no help. Misleading actually, since the projector I bought was praised as being ""easy to use"". I posted a question several days ago but received no reply. I prefer Ebay's method of communication w/ sellers. I find the Amazon app to be cluttered & disorganized. Edited 6/7/21, 3 months later: still can't use the projector.",user-experience,Solomon,4,0,us
"I can't imagine my life without AMAZON:) Not only for the convenience, but the selection of products is never ending. With 10 grandchildren I'm always ordering from Amazon, plus I stock up our household products with comparable prices. We are both on the plus size and tall, so I'm also able to purchase clothes that fit and we like. During the pandemic AMAZON was a life saver. I'm disabled and unable to walk the lengths of malls any longer, so the convenience of AMAZON is very much welcomed.",user-experience,Solomon,5,2,us
"Terrible app interface, not intuitive. Adding an email for example takes forever and requires too many steps. The shop itself is good though",user-experience,Solomon,3,0,us
"If I force close the app, then reopen it, I can browse for a few minutes before it stops responding again. ""sorry, there's a problem with this page right now. We're working on fixing it"" and a 'try again' button. Only thing that works is force closing and reopening again. I get maybe two to three minutes of browsing before it stops responding. Can't wait for this long running issut to be fixed properly.",user-experience,Adam,3,0,uk
"So many options that sometimes it's hard to find things, but then you just search for what setting you need in the search bar, and it comes up. It's so easy. One of the smoothest apps out there, but it is to be expected with being for the largest company on the planet.",user-experience,Solomon,5,6,us
For some reason when I'm looking at things I'm in a random account under the name of Cinthia,privacy,Lailat,3,0,us
"I order off here a lot, but lately, I've been getting annoyed with the processing payment action. When I buy from literally everywhere else, it takes the money right away....but with Amazon, they charge you later, when the order is about to ship. It's annoying, stop and charge the card as soon as the button is pushed!!",shipping,Solomon,3,97,us
It is very good,user-experience,Adam,4,0,us
"It's alright. Although this mobile version needs some work done on it, like fixing some old glitches I occasionally encounter. All in all its decent, but far from perfect, and in saying all that, i should note that it does work quit fine, generally, and it gets the job done, so I like it. Thanks Amazon, keep up the good work.",user-experience,Adam,4,6,uk
I really enjoy the ease of using Amazon same day delivery. Many options to choose from.,shipping,Solomon,5,0,us
"*Update* The app itself is awesome! I've used it for many years now and it just gets better! With COVID it's been a challenge and they've kept moving forward. I'm impressed! With that said.... Verbal communication for customer service should always be an option!!!! I have used the CHAT feature a few times prior to the COVID chaos and it worked well for minor issues but, for more complicated problems you should be able to at least get a call back option. Just good business -- even in the chaos.",customer-service,Solomon,4,944,us
"Not a good service,product is shown in the website ,order is also accepted and money gets deduct ,and again refund and order will be automatically cancelled without informing or telling any reason .",customer-service,Lailat,1,0,us
Easy to use.,user-experience,Adam,5,0,us
UPDATE 3/30/24: Too many third-party sellers who do not send items in sufficient packaging. 60% of items are damaged either because of subpar shipping boxes (three collectors' books were received in an ENVELOPE that was OPEN on both ends with books sticking out. IMPOSSIBLE TO RETURN ITEMS. CAN NOT TELL IF I'M BUYING FROM AMAZON OR A 3RD-PARTY. HORRIBLE CUST. SERVICE. // The issue I was having with the app was resolved with the last update. Thank you. I am grateful for the delivery notifications.,shipping,Lailat,2,1,us
"I learn a lot shopping with Amazon. There has been a lot of changes since I joined years ago. But I still shop with them if the is right or I can't find hard to find items, I can't find anywhere else online.",user-experience,Adam,4,0,uk
it's good. but it always miss clicks on things I don't want to look at while swiping and doesn't click on things I want to. minor inconvenience.,user-experience,Adam,4,0,uk
sometimes the app crashes and closes,user-experience,Lailat,4,0,us
"I can find what I am looking for, returns when needed, buy I have learned to check the seller, and to make sure returns are allowed for big ticket items.",user-experience,Solomon,5,0,us
the best shopping app on earth,user-experience,Adam,5,0,us
Amazon refuses to let me into my account. I am not entering wrong info. When it finally letmeon it had a total strangers name on it! I even tried to open a new account and it refused that too! I've spent quite a lot ofmoneyhere in the past. Id like to spend even more. Apparently Amazon does care that they're loosing another customer! I tried everything I know. Good bye Amazon.,customer-service,Ugochukz,1,14,us
"They where able to deliver 1,500$ worth of computer parts no problem but when I order one of the books for my now mini library it came in just a box with no bobble wrap and they threw the package into my front door, happily the book was undamaged (to a reasonable person, minor damage to the top and corners of the book, noticeable next to my pristine book collection). I went to report it,and they would only accept it as a problem if I returned the product, which would be extremely un-eco-friendly",shipping,Ugochukz,3,0,us
"I only first got prime bcuz at work we get incentive for signing guests up to a membership with our company, which I am very good at & get alot every month. With that you get points, when those points add up you can get many things, Amazon gift cards is one so I ended up getting a subscription with Amazon prime & love how fast things come once ordered. You also get to watch prime TV ($3 more if you want no ads now). Well worth the cost but I love it & highly recommend for sure.",user-experience,Solomon,5,7,us
Useful for things like collecting from Amazon locker. No option to turn off video auto play in the app though.,user-experience,Lailat,2,0,us
Good,user-experience,Adam,4,0,us
"When I opened the app, it was in English. But after tapping on one item, everything is in Spanish, which I do not speak. Since I also can't read Spanish, I can't navigate the app to change back to English. When I logged on using Chrome, it was in English. It is just the app.",user-experience,Ugochukz,2,2,us
"The latest update removes the prime filter for search results . I never buy anything unless it's marked as prime. Without the filter it is a total pain to have to go through all the results to find the prime items. Since I purchase items from Amazon multiple times a week this is really annoying. This makes the application almost unusable. I guess I'll use the webpage until it's fixed. Really, really, annoying",user-experience,Solomon,4,33,us
"loved it for a long time. now it takes up to a couple weeks sometimes to get a package. my last package was damaged and instead of just reordering it and sending it right out, they waited days to just reimburse me. then I had to wait another 4 days to get it again. where was the option to reorder? I think it's the same as every company, they get big and the priorities shift to their interests. instead of the buyer being priorities. walmart is starting to be the better choice. they deliver too",shipping,Ugochukz,3,13,us
"Prices are not good cheaper in shops for some items. and refunds policy is a joke for some items, and the worst part is that sometimes Amazon will not take any responsibility for some items that are being sold from aboard. so overall, be careful when buying products from here because if it says no free return bellow the price then do not buy that item because changes are what you see in the pictures and descriptions are not always accurate and for any reason you want to return it you can't.",customer-service,Solomon,3,5,us
"I do like the app. It makes shopping easy, but it can be glitchy. Sometimes it loads really slow other time I cant search anything. Recently it started merging my lists or changing them on it's own. Sometimes they dont even appear. Love the app when it works, fix the problems an I give it 5 stars.",user-experience,Solomon,4,2,us
"An overall, easy to use app. Has no problem taking my dollars. 😜",user-experience,Adam,5,0,us
Not happy. First they mess with my music playlists interjecting music they think I should listen to. Then they insert commercials during movies. I pay $139 for this. Might as well cancel my membership and stick to free shipping over $35 if needed.,user-experience,Ugochukz,2,3,us
"Initially, we paid a monthly subs fee to get the benefit of free shipping on most items as well as some ad-free perks via prime vid and prime music but now Amazon wants to charge extra for media services sans ads. I don't think it's a fair/reasonable upcharge & if they gave a darn about their customers they'd have asked for our input on the subject. Don't waste your $ on the xtra Prime Vid fee, most of their options suck anyways. Just like other services 2/100 choices are worth watching.",shipping,Ugochukz,1,114,us
The app does not allow payment via Google Pay,user-experience,Lailat,1,0,us
"I ❤️ Amazon. As long as you read product reviews, you definitely get exactly what you're shopping for, conveniently and seamlessly.",user-experience,Solomon,5,0,us
"Amazon seems to be okay for the most part, unless it's Prime we're talking about---then it's a different story. They're real good at advertising the free shipping and everything that's included in a Prime membership, but don't let them fool you. Some of it is as advertised, but most movies, videos and TV episodes will require an additional subscription to Hulu, Boomerang or the various other sites which own the rights to the particular item. Most items DON'T fall under the free shipping. BEWARE!",shipping,Solomon,4,20,us
"""Never miss a delivery"": ""Get real-time tracking""... Amazon says package is to arrive today... however, there is no tracking button to even push to track my ""Shipped by Amazon""! So I shared the tracking link, Amazon website says, ""Sorry we couldn't find that page"". I have no clue as to where my package is, or if it will even arrive! ""Live chat support""... No! says ""Sorry, something went wrong"". The chat support is not working at all either!!! So all-in-all not a good Amazon day!",shipping,Lailat,3,0,us
"Amazon shopping is the best for me. They have everything and delivery is safe, considerate, timely and convenient for those of us unable to shop otherwise..",user-experience,Solomon,5,0,us
"Bug: My orders page for showing previous orders is permanently showing the empty state page, indicating that I have ordered nothing in the last 3 months (of course that's not true; that would be crazy 🤣). It's showing no orders for previous years too. Look forward to the fix, thanks 🙏",user-experience,Solomon,5,9,us
Bought Motorola g50 great phone ! .. charger box or charging wire broken ... Causing early on difficulty's getting phone to turn on or show signs of life after initial power died . Tablet is still coming and phone case . Tablet will be not to my request due to canceling order . Now I get one I didn't want but will keep it . Not a fan of color and I probably would have bought a better one if the order didn't go threw after the first canceling,user-experience,Solomon,4,0,us
"Love the app! Easy to use and love Prime! Only four stars and not 5 because the pricing seems to have increased on many of the products. I realize that it is similar to other sellers like eBay or Craigslist, that seems to be the problem. Originally it was surefire products you could rely on direct from the manufacturers at lower prices. Now, not so much. Wish the pricing and products were more dependable as was the past. Still, great 👍though. Beats fighting in the stores and wearing masks 😷.",user-experience,Solomon,4,317,us
